correct_ans,question
○,尊重生命是駕駛道德最重要的一點，我們開車時要處處顧及行人，尤其應該注意讓老弱婦孺身心障礙者優先通行。,"法規選擇題第001題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,遵守交通法規與秩序，只算是優良駕駛人，與駕駛道德無關。,"法規選擇題第002題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽油著火時，應用滅火器、泥沙或用水浸濕棉被、衣服覆蓋撲滅。,"法規選擇題第003題,事故預防及處理(預防國道二次事故、急救常識)"
○,禮讓與寬容是駕駛道德的最好表現。,"法規選擇題第004題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,在狹窄道路上會車，一定要互相禮讓。,"法規選擇題第005題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,綠燈允許你依序通過，但駕駛人仍應注意違規闖紅燈的人和車。,"法規選擇題第006題,路口安全(有號誌路口、無號誌路口、停讓行人)"
X,看見前面車禍有人受傷，沒有人管，我自已要趕路，明明看（聽）到受傷的人在慘叫，也只有不管。,"法規選擇題第007題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,我們在開車前仔細檢查汽車，使其保持良好性能，行駛中處處顧及行人與其他車輛，也是駕駛道德的表現。,"法規選擇題第008題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,後面汽車為避免灰塵而超越我車，我也討厭灰塵，只有再超越前車。,"法規選擇題第009題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,大雨使路上到處積滿污水，路邊行人雖多，但我怕阻礙後面汽車通行，只得快速通過。,"法規選擇題第010題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,行車起駛、換檔、轉彎或煞車，都應顧及乘客的安全和舒適，還要注意路上車輛及行人的安全。,"法規選擇題第011題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,隨便按鳴喇叭，製造噪音，是不道德的行為。,"法規選擇題第012題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,一個人飲酒後，雖然視力、聽覺以及判斷能力，都會變為遲鈍，但在其本人的感覺來說，卻很舒暢，所以酒後可以駕駛汽車。,"法規選擇題第013題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
X,汽車拋錨在快車道上，雖然往來車輛甚多，對造成塞車和影響交通安全很大，但為了爭取自己的時間，只有等我趕快修好再開走。,"法規選擇題第014題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,我開車有多年經驗，技術熟練有把握，所以在開車時經常和人談笑歌唱，這是技術表現，對行車安全毫無影響。,"法規選擇題第015題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
○,假使我是開客車，更要處處小心謹慎，因為人命關天，乘客的生命都操縱在我的手上。,"法規選擇題第016題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,因為我開車開得太久了，曉得開快車的危險可怕，即使乘客要求開快車趕路，但我為了行車安全，還是不能答應，並將危險可怕的教訓告訴他。,"法規選擇題第017題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,開車的人如果沒有駕駛道德，是他自己的不幸，也是大家的不幸。,"法規選擇題第018題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,遇有老弱婦孺身心障礙者搭乘計程車時，可以增加收費。,"法規選擇題第019題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,夜間會車時應使用近光燈。,"法規選擇題第020題,正確使用燈光(頭燈、霧燈、方向燈)"
○,聞後車喇叭聲或顯示超車燈光，要求讓其超車時，如車前路況無障礙，應減速靠邊行駛，並顯示燈光或手勢表示允讓。,"法規選擇題第021題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,發現乘客遺留財物在車上時，應立即送還失主或送往最近之警察單位招領。,"法規選擇題第022題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,如遇老弱婦孺身心障礙者在行人穿越道上行動緩慢，應按鳴喇叭促其快速通過。,"法規選擇題第023題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,如有外地乘客不熟悉街道，只說出目的地搭乘計程車時，可以任意在市區多繞幾個圈以增加車費收入。,"法規選擇題第024題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,如發現患有傳染病或攜帶惡臭物品之乘客，搭車時可藉故婉言拒載。,"法規選擇題第025題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,如發現路上有傷患倒在地上時，應即撥打電話號碼 110或119 通知警察或救護醫療單位前往處理。,"法規選擇題第026題,事故預防及處理(預防國道二次事故、急救常識)"
X,行車不慎撞倒行人，如無傷害可立即加速逃逸以免麻煩。,"法規選擇題第027題,事故預防及處理(預防國道二次事故、急救常識)"
○,遇持有白手杖或視障朋友於路上行走或通過馬路時，應扶持幫助或禮讓其優先通行。,"法規選擇題第028題,路口安全(有號誌路口、無號誌路口、停讓行人)"
○,在駕駛汽車前，應保持身心安定，在行駛中，要專心一意，應付行車情況。,"法規選擇題第029題,事故預防及處理(預防國道二次事故、急救常識)"
○,不肇事，不違反道路交通安全規則是行車安全的主要條件。,"法規選擇題第030題,事故預防及處理(預防國道二次事故、急救常識)"
○,駕駛汽車不要強爭一分一秒，不可疏忽一分一秒。,"法規選擇題第031題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,駕駛汽車是一種手腦並用，高度勞心又勞力的工作，極易疲勞，唯有規律的生活，才能確保行車安全。,"法規選擇題第032題,事故預防及處理(預防國道二次事故、急救常識)"
○,汽車狀況與交通事故有密切關係，所以汽車各部份機件性能，應經常保持良好狀態，並依規定保養與安全檢查，是安全駕駛重要因素之一。,"法規選擇題第033題,行車檢查(設備、燈光)"
X,在行車途中如汽車發生故障，足以影響行車安全，仍可勉強行駛。,"法規選擇題第034題,事故預防及處理(預防國道二次事故、急救常識)"
○,汽車應該在每天開車前實施安全檢查，並應予定期保養。,"法規選擇題第035題,行車檢查(設備、燈光)"
○,交通法規，是維持交通秩序，保障交通安全的一切準則，不但要瞭解，而且必需遵守才能達到秩序井然，交通安全之理想境界。,"法規選擇題第036題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,在開車前，必須檢查車輛，以增進行車安全。,"法規選擇題第037題,行車檢查(設備、燈光)"
X,駕駛人只求技術優良，對遵守交通規則不必太重視。,"法規選擇題第038題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車裝載貨物必須綑紮穩妥， 是車主及駕駛人之責任，也可降低發生危險的機率。,"法規選擇題第039題,貨物裝載(防止掉落或滲漏)"
○,身體疲勞仍繼續駕駛汽車，是發生車禍的最大原因之一。,"法規選擇題第040題,事故預防及處理(預防國道二次事故、急救常識)"
X,身心不健全的人，仍可無限制的繼續駕駛汽車。,"法規選擇題第041題,事故預防及處理(預防國道二次事故、急救常識)"
○,駕車時無論何時、無論何處，都要注意安全。,"法規選擇題第042題,事故預防及處理(預防國道二次事故、急救常識)"
X,疲勞駕駛只要降低行車速度並不會影響安全。,"法規選擇題第043題,事故預防及處理(預防國道二次事故、急救常識)"
○,反應距離加煞車距離，就是停車距離。,"法規選擇題第044題,事故預防及處理(預防國道二次事故、急救常識)"
○,開車不喝酒，酒後不開車。,"法規選擇題第045題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
○,駕駛人駕車如因過失致人於死傷，在法律上要負刑事 (判刑)、民事(賠償)及行政 (吊銷駕照) 等三種責任。,"法規選擇題第046題,事故預防及處理(預防國道二次事故、急救常識)"
○,駕駛人駕車疏忽致人死傷，須負刑事、民事、行政之責任者， 不可認為「坐牢不賠錢，賠錢不坐牢」。,"法規選擇題第047題,事故預防及處理(預防國道二次事故、急救常識)"
○,駕駛人因開車疏忽致人死傷，在法律上除了要負刑事責任外，還須負民事賠償責任。,"法規選擇題第048題,事故預防及處理(預防國道二次事故、急救常識)"
○,開車肇事致人死傷，如果出於故意，是依故意殺人或傷害罪處理。,"法規選擇題第049題,事故預防及處理(預防國道二次事故、急救常識)"
○,不良的駕駛習慣都是由於不正確、不適當的自然習性養成，諸如：跟車太近、任意變換車道超車、搶道轉彎、開快車超速或匆忙駕駛等都是常見錯誤的行車動作。,"法規選擇題第051題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
○,轉向未先顯示方向燈、未注意後方來車等均是車輛轉彎肇事的主要原因。,"法規選擇題第052題,事故預防及處理(預防國道二次事故、急救常識)"
○,駕車起駛進入車道或變換車道前，應先顯示方向燈，注視照後鏡及頭部擺動察看隔鄰車道汽車動態，藉以消除照後鏡之盲點。,"法規選擇題第053題,行駛中應注意事項(保持安全車距、注意前車狀況)"
○,高速行駛時，駕駛人的視線自然易於忽略兩側及近前之事物，因此駕駛人應提高警覺、擴大視野並避免超速。,"法規選擇題第054題,事故預防及處理(預防國道二次事故、急救常識)"
