correct_ans,question,comment,has_image,image_path
○,連續彎路先向右,.\src\sign-OX.files\image001,"法規選擇題第 001 題,分類02|轉彎(左右轉、迴轉)"
X,連續彎路先向左,.\src\sign-OX.files\image002,"法規選擇題第 002 題,分類02|轉彎(左右轉、迴轉)"
○,岔路,.\src\sign-OX.files\image003,"法規選擇題第 003 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,救護站,.\src\sign-OX.files\image004,"法規選擇題第 004 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,狹路,.\src\sign-OX.files\image005,"法規選擇題第 005 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,狹橋,.\src\sign-OX.files\image006,"法規選擇題第 006 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,險升坡,.\src\sign-OX.files\image007,"法規選擇題第 007 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,險降坡,.\src\sign-OX.files\image008,"法規選擇題第 008 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,狹橋,.\src\sign-OX.files\image009,"法規選擇題第 009 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,狹路,.\src\sign-OX.files\image010,"法規選擇題第 010 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,圓環,.\src\sign-OX.files\image011,"法規選擇題第 011 題,分類02|轉彎(左右轉、迴轉)"
X,圓環遵行方向,.\src\sign-OX.files\image012,"法規選擇題第 012 題,分類02|轉彎(左右轉、迴轉)"
○,雙向道,.\src\sign-OX.files\image013,"法規選擇題第 013 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,狹路,.\src\sign-OX.files\image014,"法規選擇題第 014 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,無柵門鐵路平交道,.\src\sign-OX.files\image015,"法規選擇題第 015 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,有柵門鐵路平交道,.\src\sign-OX.files\image016,"法規選擇題第 016 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,當心行人,.\src\sign-OX.files\image017,"法規選擇題第 017 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,當心兒童,.\src\sign-OX.files\image018,"法規選擇題第 018 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,注意強風,.\src\sign-OX.files\image019,"法規選擇題第 019 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,注意標誌,.\src\sign-OX.files\image020,"法規選擇題第 020 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,當心兒童,.\src\sign-OX.files\image021,"法規選擇題第 021 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,當心行人,.\src\sign-OX.files\image022,"法規選擇題第 022 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,左側斷崖,.\src\sign-OX.files\image023,"法規選擇題第 023 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,注意落石,.\src\sign-OX.files\image024,"法規選擇題第 024 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,危險,.\src\sign-OX.files\image025,"法規選擇題第 025 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,注意號誌,.\src\sign-OX.files\image026,"法規選擇題第 026 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,停車再開,.\src\sign-OX.files\image027,"法規選擇題第 027 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,禁止停車,.\src\sign-OX.files\image028,"法規選擇題第 028 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,讓路,.\src\sign-OX.files\image029,"法規選擇題第 029 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,慢行,.\src\sign-OX.files\image030,"法規選擇題第 030 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,禁止停車,.\src\sign-OX.files\image031,"法規選擇題第 031 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,停車再開,.\src\sign-OX.files\image032,"法規選擇題第 032 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,禁止四輪以上汽車進入,.\src\sign-OX.files\image033,"法規選擇題第 033 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,禁止進入,.\src\sign-OX.files\image034,"法規選擇題第 034 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,禁止迴車,.\src\sign-OX.files\image035,"法規選擇題第 035 題,分類02|轉彎(左右轉、迴轉)"
X,禁止左轉,.\src\sign-OX.files\image036,"法規選擇題第 036 題,分類02|轉彎(左右轉、迴轉)"
○,禁止四輪以上汽車及機車進入,.\src\sign-OX.files\image037,"法規選擇題第 037 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,禁止四輪以上汽車進入,.\src\sign-OX.files\image038,"法規選擇題第 038 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,車輛高度限制,.\src\sign-OX.files\image039,"法規選擇題第 039 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,車輛寬度限制,.\src\sign-OX.files\image040,"法規選擇題第 040 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,停車檢查,.\src\sign-OX.files\image041,"法規選擇題第 041 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,禁止停車,.\src\sign-OX.files\image042,"法規選擇題第 042 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,最高速限,.\src\sign-OX.files\image043,"法規選擇題第 043 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,最低速限,.\src\sign-OX.files\image044,"法規選擇題第 044 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,停車檢查,.\src\sign-OX.files\image045,"法規選擇題第 045 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
