correct_ans,question,comment,image_path
1,（１）右彎。（２）左彎。（３）連續彎路先向右。,選擇題第 001 題，分類02|轉彎(左右轉、迴轉),.\src\sign-OX.files\image001.jpg
1,（１）左彎。（２）右彎。（３）連續彎路先向左。,選擇題第 002 題，分類02|轉彎(左右轉、迴轉),.\src\sign-OX.files\image002.jpg
1,（１）連續彎路先向右。（２）左彎。（３）連續彎路先向左。,選擇題第 003 題，分類02|轉彎(左右轉、迴轉),.\src\sign-OX.files\image003.jpg
1,（１）連續彎路先向左。（２）右彎。（３）連續彎路先向右。,選擇題第 004 題，分類02|轉彎(左右轉、迴轉),.\src\sign-OX.files\image004.jpg
3,（１）雙向道。（２）狹路。（３）岔路。,選擇題第 005 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image005.jpg
1,（１）岔路。（２）雙向道。（３）此路不通。,選擇題第 006 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image006.jpg
1,（１）右側車道縮減。（２）狹路。（３）匝道會車。,選擇題第 007 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image007.jpg
1,（１）狹路。（２）狹橋。（３）岔路。,選擇題第 008 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image008.jpg
3,（１）岔路。（２）狹橋。（３）匝道會車。,選擇題第 009 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image009.jpg
2,（１）單行道。（２）雙向道。（３）狹路。,選擇題第 010 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image010.jpg
2,（１）左彎。（２）圓環。（３）岔路。,選擇題第 011 題，分類02|轉彎(左右轉、迴轉),.\src\sign-OX.files\image011.jpg
1,（１）路面顛簸。（２）路面高突。（３）路面低窪。,選擇題第 012 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image012.jpg
2,（１）岔路。（２）狹橋。（３）狹路。,選擇題第 013 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image013.jpg
3,（１）路面顛簸。（２）險升坡。（３）路面高突。,選擇題第 014 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image014.jpg
1,（１）險降坡。（２）險升坡。（３）碼頭。,選擇題第 015 題，分類03|行駛中應注意事項(保持安全車距、注意前車狀況),.\src\sign-OX.files\image015.jpg
3,（１）右側斷崖。（２）注意落石。（３）左側斷崖。,選擇題第 016 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image016.jpg
1,（１）無柵門鐵路平交道。（２）有柵門鐵路平交道。（３）禁止汽車進入。,選擇題第 017 題，分類01|路口安全(有號誌路口、無號誌路口、停讓行人),.\src\sign-OX.files\image017.jpg
